source,image,channel_source,dice,iou,precision,sensitivity,specificity,pred_density,gt_density,auprc,roc_auc
RetCam,1.png,C4G4,0.32945566286215466,0.19721455787675363,0.42115600448932095,0.2705479452054725,0.9461887585518142,0.0812109375,0.12641927083333335,0.24266635184413732,0.6104593872954408
RetCam,1.png,C6G6,0.3201429825661558,0.19057751894575373,0.4092512425845595,0.26290040168914763,0.9450820527343424,0.0812109375,0.12641927083333335,0.24471266566933883,0.6064106281035885
RetCam,1.png,C4 artifact safe,0.31173473387159506,0.18464795795181949,0.3984929255681431,0.2559995880111171,0.9440796828188545,0.08121419270833333,0.12641927083333335,0.23017839482502675,0.6019934415372049
RetCam,2.png,C4G4,0.37713773298886827,0.23239047493750212,0.3466656199709406,0.4134831460673964,0.9417681220263051,0.08293294270833333,0.06953125,0.26409317245413083,0.6820352821560949
RetCam,2.png,C6G6,0.3530617473738075,0.2143746110765346,0.32454074422985063,0.38707865168537514,0.9397984886649842,0.0829296875,0.06953125,0.25640712947238886,0.668096889229694
RetCam,2.png,C4 artifact safe,0.3591801878736047,0.21890288331424435,0.33014128728413145,0.3938202247190827,0.9402882731598065,0.08294270833333334,0.06953125,0.25730895850864643,0.6715624497997099
RetCam,3.png,C4G4,0.19450503448123485,0.1077294803895222,0.16982148353338836,0.2275844289765286,0.9250256249891388,0.084609375,0.063134765625,0.09921127072071216,0.5776300269260737
RetCam,3.png,C6G6,0.21110841833924054,0.11801073944528997,0.18431176425328213,0.2470224284609308,0.9263285905387296,0.08461588541666666,0.063134765625,0.10389643996642865,0.5879356922758191
RetCam,3.png,C4 artifact safe,0.20266995638189625,0.11276168063930694,0.17692988191852851,0.23717452951790474,0.9256475738781434,0.08463216145833333,0.063134765625,0.10905384710419622,0.5831758885612586
RetCam,4.png,C4G4,0.4128427288422788,0.2601145685714804,0.5139003903939227,0.34499920580292415,0.9542471773325479,0.082548828125,0.12296223958333333,0.3162438503424668,0.6520319789654215
RetCam,4.png,C6G6,0.37943487075518917,0.23413737831814704,0.472281365822866,0.31709641552389695,0.950324022180484,0.08255859375,0.12296223958333333,0.3019575594683912,0.6367666590137773
RetCam,4.png,C4 artifact safe,0.38893816523060715,0.2414172794840489,0.4841100859553472,0.32503838619155173,0.9514375004639458,0.08255859375,0.12296223958333333,0.29925072612331605,0.6406727110993181
RetCam,5.png,C4G4,0.41793585876343214,0.26417124809918674,0.44850458752033806,0.3912681912681777,0.950114967306169,0.08195638020833333,0.0939453125,0.3123143646344301,0.6743808639836879
RetCam,5.png,C6G6,0.4243018672391061,0.26927865078805185,0.45533621956545833,0.39722799722798346,0.9507329165768451,0.08195638020833333,0.0939453125,0.3206807065433239,0.6780710457418799
RetCam,5.png,C4 artifact safe,0.4054404145077645,0.25426482534524186,0.4350675138999033,0.3795911295911164,0.9488934396780881,0.08196614583333334,0.0939453125,0.3017041270519671,0.6678665577544646
Neo,1.png,C4G4,0.24267840528793075,0.13809561438166515,0.19901154713370992,0.31089447093146266,0.93739029192584,0.07444085015190972,0.04765150282118055,0.13113357024254052,0.6266298381547176
Neo,1.png,C6G6,0.2320530978366487,0.13125569413464655,0.19028967024958576,0.2973030669607807,0.9367013341213901,0.07444932725694445,0.04765150282118055,0.13042240775966052,0.620093650378903
Neo,1.png,C4 artifact safe,0.22183959120195204,0.12475791841069338,0.1819175586426741,0.2842097772717468,0.9360497616241584,0.07444593641493055,0.04765150282118055,0.11978383816873461,0.6126063572959842
Neo,2.png,C4G4,0.22414747126618148,0.1262196424756049,0.16128958864215143,0.3672866690844844,0.9353873551110105,0.07451714409722222,0.032723320855034724,0.1261776514361432,0.6554477678619319
Neo,2.png,C6G6,0.21712804135771874,0.1217855496045096,0.15623862395340016,0.3557846743691852,0.9349982384583952,0.07451714409722222,0.032723320855034724,0.1329715030038192,0.6497757318189935
Neo,2.png,C4 artifact safe,0.18439940557118628,0.1015638605412542,0.1326871885878067,0.3021605098181285,0.9331823607461908,0.07451883951822917,0.032723320855034724,0.0912811129554123,0.6206937503220716
Neo,3.png,C4G4,0.2550618134496848,0.14617240622943414,0.22750238973097942,0.2902186220712398,0.9388851977291247,0.074493408203125,0.0583953857421875,0.14556438033784289,0.6167472817346198
Neo,3.png,C6G6,0.25449395914930206,0.14579952930169793,0.2269913518434177,0.2895798856080978,0.9388419841514186,0.0744967990451389,0.0583953857421875,0.1512952496711119,0.6169753624647397
Neo,3.png,C4 artifact safe,0.2140542471485773,0.11985484262711814,0.19092378069596053,0.24356182678627752,0.935989888022815,0.07449510362413195,0.0583953857421875,0.11644262241904059,0.5914889548706447
Neo,4.png,C4G4,0.27496406733415824,0.15939613901794694,0.2572770167080701,0.29526251079079463,0.9409278875700902,0.07437981499565972,0.06481085883246528,0.18351352302913343,0.6212402765382007
Neo,4.png,C6G6,0.2557306764756004,0.146611921121723,0.23927065527064983,0.27462264891306476,0.93949024378305,0.0743865966796875,0.06481085883246528,0.1772328971842856,0.6105024886371551
Neo,4.png,C4 artifact safe,0.25003349532892105,0.1428790177763528,0.2339426539636178,0.2685013210557913,0.9390678339439826,0.07438490125868055,0.06481085883246528,0.16387989549888599,0.60641877617774
Neo,5.png,C4G4,0.2847482520692091,0.1660095973740984,0.21153846153845673,0.4354499087548343,0.9389817627842566,0.0745849609375,0.036232842339409724,0.19397271402906374,0.6926399865499819
Neo,5.png,C6G6,0.2873927210977973,0.16781005466823584,0.21349668151649667,0.4395208460062496,0.9391277730964548,0.07459174262152778,0.036232842339409724,0.20330888734475822,0.6950051111807874
Neo,5.png,C4 artifact safe,0.25909494232475205,0.1488277268093756,0.19247641777474278,0.39623789247108715,0.9375023088980075,0.07459004720052083,0.036232842339409724,0.15668912348310926,0.6709975662020559
